Time,Angle
04/17/2017 08:42:53,-41.36999893
04/17/2017 08:43:23,-41.84899902
04/17/2017 08:43:47,-41.125
04/17/2017 08:44:17,-41.62099838
04/17/2017 08:44:41,-40.8730011
04/17/2017 08:45:11,-41.38299942
04/17/2017 08:45:35,-40.6570015
04/17/2017 08:46:05,-41.17499924
04/17/2017 08:46:29,-40.43299866
04/17/2017 08:46:59,-40.94599915
04/17/2017 08:47:23,-40.23500061
04/17/2017 08:47:53,-40.71099854
04/17/2017 08:48:17,-39.97999954
04/17/2017 08:48:47,-40.47900009
04/17/2017 08:49:11,-39.74200058
04/17/2017 08:49:41,-40.25099945
04/17/2017 08:50:05,-39.51800156
04/17/2017 08:50:35,-40.03099823
04/17/2017 08:50:59,-39.29100037
04/17/2017 08:51:29,-39.78900146
04/17/2017 08:51:53,-39.06000137
04/17/2017 08:52:23,-39.57699966
04/17/2017 08:52:47,-38.82400131
04/17/2017 08:53:17,-39.34199905
04/17/2017 08:53:41,-38.60599899
04/17/2017 08:54:11,-39.1230011
04/17/2017 08:54:35,-38.375
04/17/2017 08:55:05,-38.88899994
04/17/2017 08:55:29,-38.16500092
04/17/2017 08:55:59,-38.65499878
04/17/2017 08:56:23,-37.94900131
04/17/2017 08:56:53,-38.42599869
04/17/2017 08:57:17,-37.67200089
04/17/2017 08:57:47,-38.20399857
04/17/2017 08:58:11,-37.47800064
04/17/2017 08:58:41,-37.98199844
04/17/2017 08:59:05,-37.25500107
04/17/2017 08:59:35,-37.75500107
04/17/2017 08:59:59,-37.00400162
04/17/2017 09:00:29,-37.51300049
04/17/2017 09:00:53,-36.77000046
04/17/2017 09:01:23,-37.2840004
04/17/2017 09:01:47,-36.55199814
04/17/2017 09:02:17,-37.06700134
04/17/2017 09:02:47,-36.31800079
04/17/2017 09:03:11,-36.81700134
04/17/2017 09:03:41,-36.06299973
04/17/2017 09:04:05,-36.58599854
04/17/2017 09:04:35,-35.83800125
04/17/2017 09:04:59,-36.36600113
04/17/2017 09:05:29,-35.61800003
04/17/2017 09:05:53,-36.13800049
04/17/2017 09:06:29,-35.79600143
04/17/2017 09:06:53,-35.89899826
04/17/2017 09:07:17,-35.14899826
04/17/2017 09:07:47,-35.66500092
04/17/2017 09:08:11,-34.91799927
04/17/2017 09:08:41,-35.44499969
04/17/2017 09:09:05,-34.67699814
04/17/2017 09:09:35,-35.20800018
04/17/2017 09:10:05,-34.43500137
04/17/2017 09:10:29,-34.94200134
04/17/2017 09:10:59,-34.21699905
04/17/2017 09:11:23,-34.72399902
04/17/2017 09:11:53,-33.97499847
04/17/2017 09:12:17,-34.52500153
04/17/2017 09:12:53,-34.16799927
04/17/2017 09:13:17,-34.28099823
04/17/2017 09:13:41,-33.5320015
04/17/2017 09:14:11,-34.06499863
04/17/2017 09:14:35,-33.29999924
04/17/2017 09:15:05,-33.8030014
04/17/2017 09:15:35,-33.05899811
04/17/2017 09:15:59,-33.5719986
04/17/2017 09:16:29,-32.80799866
04/17/2017 09:16:53,-33.35599899
04/17/2017 09:17:23,-32.60100174
04/17/2017 09:17:47,-33.11399841
04/17/2017 09:18:17,-32.38100052
04/17/2017 09:18:41,-32.90399933
04/17/2017 09:19:11,-32.14199829
04/17/2017 09:19:35,-32.65399933
04/17/2017 09:20:05,-31.9109993
04/17/2017 09:20:29,-32.43500137
04/17/2017 09:20:59,-31.70000076
04/17/2017 09:21:29,-32.22700119
04/17/2017 09:21:59,-31.44300079
04/17/2017 09:22:23,-31.95700073
04/17/2017 09:22:53,-31.22500038
04/17/2017 09:23:17,-31.71100044
04/17/2017 09:23:47,-30.99300003
04/17/2017 09:24:11,-31.48500061
04/17/2017 09:24:41,-30.77300072
04/17/2017 09:25:05,-31.25900078
04/17/2017 09:25:35,-30.58099937
04/17/2017 09:25:59,-31.04299927
04/17/2017 09:26:29,-30.34199905
04/17/2017 09:26:53,-30.79599953
04/17/2017 09:27:23,-30.09900093
04/17/2017 09:27:47,-30.5720005
04/17/2017 09:28:17,-29.86000061
04/17/2017 09:28:41,-30.3579998
04/17/2017 09:29:11,-29.65800095
04/17/2017 09:29:35,-30.1420002
04/17/2017 09:30:24,-29.86700058
04/17/2017 09:30:30,-29.875
04/17/2017 09:30:59,-29.17499924
04/17/2017 09:31:23,-29.64699936
04/17/2017 09:31:53,-28.94300079
04/17/2017 09:32:17,-29.42499924
04/17/2017 09:32:47,-28.72200012
04/17/2017 09:33:11,-29.23200035
04/17/2017 09:33:41,-28.49699974
04/17/2017 09:34:11,-28.9659996
04/17/2017 09:34:35,-28.23600006
04/17/2017 09:35:05,-28.72800064
04/17/2017 09:35:29,-27.99600029
04/17/2017 09:35:59,-28.50399971
04/17/2017 09:36:23,-27.7859993
04/17/2017 09:36:53,-28.28000069
04/17/2017 09:37:17,-27.57900047
04/17/2017 09:37:47,-28.05500031
04/17/2017 09:38:11,-27.32900047
04/17/2017 09:38:41,-27.82099915
04/17/2017 09:39:05,-27.09199905
04/17/2017 09:39:35,-27.57600021
04/17/2017 09:39:59,-26.87199974
04/17/2017 09:40:29,-27.35700035
04/17/2017 09:40:59,-26.63500023
04/17/2017 09:41:23,-27.14100075
04/17/2017 09:41:53,-26.40600014
04/17/2017 09:42:17,-26.88100052
04/17/2017 09:42:47,-26.16600037
04/17/2017 09:43:11,-26.64999962
04/17/2017 09:43:41,-25.93000031
04/17/2017 09:44:05,-26.44000053
04/17/2017 09:44:35,-25.69099998
04/17/2017 09:44:59,-26.1970005
04/17/2017 09:45:29,-25.49500084
04/17/2017 09:45:53,-25.96800041
04/17/2017 09:46:23,-25.23900032
04/17/2017 09:46:47,-25.73200035
04/17/2017 09:47:17,-25.00699997
04/17/2017 09:47:41,-25.51099968
04/17/2017 09:48:11,-24.79599953
04/17/2017 09:48:35,-25.28899956
04/17/2017 09:49:05,-24.56999969
04/17/2017 09:49:29,-25.04299927
04/17/2017 09:49:59,-24.32699966
04/17/2017 09:50:23,-24.80999947
04/17/2017 09:50:53,-24.08699989
04/17/2017 09:51:17,-24.59600067
04/17/2017 09:51:53,-24.25699997
04/17/2017 09:52:17,-24.36400032
04/17/2017 09:52:41,-23.61499977
04/17/2017 09:53:11,-24.12700081
04/17/2017 09:53:35,-23.37999916
04/17/2017 09:54:05,-23.87299919
04/17/2017 09:54:29,-23.1590004
04/17/2017 09:55:05,-23.6420002
04/17/2017 09:55:29,-22.90299988
04/17/2017 09:55:59,-23.41900063
04/17/2017 09:56:23,-22.69099998
04/17/2017 09:56:53,-23.17499924
04/17/2017 09:57:17,-22.45599937
04/17/2017 09:57:47,-22.94599915
04/17/2017 09:58:11,-22.2159996
04/17/2017 09:58:41,-22.70499992
04/17/2017 09:59:05,-21.97299957
04/17/2017 09:59:35,-22.48200035
04/17/2017 09:59:59,-21.77199936
04/17/2017 10:00:29,-22.26099968
04/17/2017 10:00:53,-21.53899956
04/17/2017 10:01:23,-22.01300049
04/17/2017 10:01:47,-21.29000092
04/17/2017 10:02:17,-21.78199959
04/17/2017 10:02:41,-21.03100014
