"data","valor"
17/04/2017 08:01:53,"-51,8089981079102"
17/04/2017 08:02:23,"-52,2249984741211"
17/04/2017 08:02:53,"-51,5909996032715"
17/04/2017 08:03:17,"-51,9900016784668"
17/04/2017 08:04:17,"-51,2970008850098"
17/04/2017 08:04:41,"-51,1349983215332"
17/04/2017 08:05:11,"-51,5279998779297"
17/04/2017 08:05:41,"-50,8619995117188"
17/04/2017 08:06:05,"-51,2709999084473"
17/04/2017 08:07:05,"-51,0419998168945"
17/04/2017 08:07:29,"-50,3919982910156"
17/04/2017 08:07:59,"-50,8009986877441"
17/04/2017 08:08:23,"-50,1720008850098"
17/04/2017 08:08:53,"-50,5800018310547"
17/04/2017 08:09:17,"-49,9259986877441"
17/04/2017 08:09:47,"-50,3530006408691"
17/04/2017 08:10:11,"-49,681999206543"
17/04/2017 08:10:41,"-50,132999420166"
17/04/2017 08:11:05,"-49,4819984436035"
17/04/2017 08:11:35,"-49,9090003967285"
17/04/2017 08:12:05,"-49,2620010375977"
17/04/2017 08:12:29,"-49,681999206543"
17/04/2017 08:13:05,"-49,4259986877441"
17/04/2017 08:13:23,"-49,4379997253418"
17/04/2017 08:14:23,"-48,7249984741211"
17/04/2017 08:14:47,"-48,5589981079102"
17/04/2017 08:15:11,"-48,9710006713867"
17/04/2017 08:15:41,"-48,3289985656738"
17/04/2017 08:16:05,"-48,7610015869141"
17/04/2017 08:17:05,"-48,0400009155273"
17/04/2017 08:17:29,"-47,8569984436035"
17/04/2017 08:17:53,"-48,2949981689453"
17/04/2017 08:18:23,"-47,6180000305176"
17/04/2017 08:18:47,"-48,0810012817383"
17/04/2017 08:19:29,"-47,8450012207031"
17/04/2017 08:19:41,"-47,8450012207031"
17/04/2017 08:20:41,"-47,1259994506836"
17/04/2017 08:21:05,"-46,9360008239746"
17/04/2017 08:21:29,"-47,390998840332"
17/04/2017 08:22:05,"-47,0670013427734"
17/04/2017 08:22:29,"-47,1549987792969"
17/04/2017 08:22:53,"-46,4900016784668"
17/04/2017 08:23:23,"-46,9189987182617"
17/04/2017 08:23:47,"-46,2550010681152"
17/04/2017 08:24:17,"-46,6940002441406"
17/04/2017 08:24:41,"-46,0099983215332"
17/04/2017 08:25:11,"-46,4609985351563"
17/04/2017 08:25:35,"-45,7729988098145"
17/04/2017 08:26:05,"-46,2229995727539"
17/04/2017 08:26:29,"-45,548999786377"
17/04/2017 08:26:59,"-46,0040016174316"
17/04/2017 08:27:23,"-45,3320007324219"
17/04/2017 08:27:53,"-45,7869987487793"
17/04/2017 08:28:17,"-45,0789985656738"
17/04/2017 08:28:47,"-45,5429992675781"
17/04/2017 08:29:11,"-44,8460006713867"
17/04/2017 08:29:41,"-45,3190002441406"
17/04/2017 08:30:11,"-44,6040000915527"
17/04/2017 08:30:41,"-45,0769996643066"
17/04/2017 08:31:05,"-44,3689994812012"
17/04/2017 08:31:35,"-44,8559989929199"
17/04/2017 08:31:59,"-44,1689987182617"
17/04/2017 08:32:29,"-44,5999984741211"
17/04/2017 08:32:53,"-43,890998840332"
17/04/2017 08:33:23,"-44,3740005493164"
17/04/2017 08:33:47,"-43,6459999084473"
17/04/2017 08:34:17,"-44,1389999389648"
17/04/2017 08:34:47,"-43,4469985961914"
17/04/2017 08:35:11,"-43,923999786377"
17/04/2017 08:35:41,"-43,2280006408691"
17/04/2017 08:36:05,"-43,6949996948242"
17/04/2017 08:36:41,"-43,4420013427734"
17/04/2017 08:37:05,"-43,4480018615723"
17/04/2017 08:37:29,"-42,7099990844727"
17/04/2017 08:37:59,"-43,2280006408691"
17/04/2017 08:38:23,"-42,5219993591309"
17/04/2017 08:38:53,"-43,0029983520508"
17/04/2017 08:39:17,"-42,306999206543"
17/04/2017 08:39:47,"-42,7869987487793"
17/04/2017 08:40:11,"-42,0589981079102"
17/04/2017 08:40:41,"-42,5340003967285"
17/04/2017 08:41:05,"-41,8030014038086"
17/04/2017 08:41:35,"-42,314998626709"
17/04/2017 08:41:59,"-41,5820007324219"
17/04/2017 08:42:29,"-42,0699996948242"
17/04/2017 08:42:53,"-41,3699989318848"
17/04/2017 08:43:23,"-41,8489990234375"
17/04/2017 08:43:47,"-41,125"
17/04/2017 08:44:17,"-41,6209983825684"
17/04/2017 08:44:41,"-40,8730010986328"
17/04/2017 08:45:11,"-41,382999420166"
17/04/2017 08:45:35,"-40,6570014953613"
17/04/2017 08:46:05,"-41,1749992370605"
17/04/2017 08:46:29,"-40,4329986572266"
